experiment_id,bank_condition,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,baseline_retrieved_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,sacr_retrieved_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T175757Z,normal,Q019,base,0.7273469387755103,0.545578231292517,2,5,0.8277551020408163,0.7931972789115646,0,5,0.100408163265306,2,,
RQ1_20260914T175757Z,normal,Q019,shifted,0.7355102040816325,0.5251700680272109,2,5,0.8435374149659862,0.7727891156462584,0,5,0.10802721088435374,2,-0.008163265306122214,-0.01578231292516996
RQ1_20260914T175757Z,normal,Q020,base,0.7708843537414967,0.545578231292517,2,5,0.8378553526673829,0.7056032939491585,0,5,0.0669709989258862,2,,
RQ1_20260914T175757Z,normal,Q020,shifted,0.7110204081632652,0.5115646258503401,2,5,0.7862585034013605,0.7687074829931974,0,5,0.07523809523809533,2,0.05986394557823149,0.05159684926602237
RQ1_20260914T175757Z,shuffled,Q001,base,0.7687074829931972,0.6761904761904762,2,5,0.8336054421768708,0.7047619047619048,0,5,0.06489795918367358,2,,
RQ1_20260914T175757Z,shuffled,Q001,shifted,0.7333333333333333,0.6353741496598639,3,5,0.814965986394558,0.7748299319727892,0,5,0.08163265306122469,3,0.03537414965986396,0.018639455782312853
RQ1_20260914T175757Z,shuffled,Q002,base,0.6423773720014322,0.5600250626566415,3,5,0.8276190476190475,0.7013605442176871,0,5,0.1852416756176153,3,,
RQ1_20260914T175757Z,shuffled,Q002,shifted,0.6363623344074473,0.5543859649122808,4,5,0.8493519513068385,0.8210526315789474,0,5,0.21298961689939122,4,0.006015037593984918,-0.021732903687791016
RQ1_20260914T175757Z,shuffled,Q003,base,0.7272108843537416,0.5068027210884354,2,5,0.8466666666666669,0.7925170068027212,0,5,0.11945578231292531,2,,
RQ1_20260914T175757Z,shuffled,Q003,shifted,0.7329251700680273,0.5544217687074829,2,5,0.8303401360544218,0.7108843537414966,0,5,0.09741496598639454,2,-0.005714285714285672,0.016326530612245094
RQ1_20260914T175757Z,shuffled,Q004,base,0.6612244897959185,0.545578231292517,4,5,0.7987755102040817,0.7074829931972789,0,5,0.13755102040816314,4,,
RQ1_20260914T175757Z,shuffled,Q004,shifted,0.689795918367347,0.545578231292517,4,5,0.8536376655925528,0.8210884353741498,0,5,0.16384174722520584,4,-0.02857142857142847,-0.05486215538847117
RQ1_20260914T175757Z,shuffled,Q005,base,0.6598639455782312,0.545578231292517,5,5,0.8084353741496599,0.7040816326530612,0,5,0.1485714285714287,5,,
RQ1_20260914T175757Z,shuffled,Q005,shifted,0.6353741496598639,0.5183673469387755,5,5,0.8131972789115647,0.8040816326530612,0,5,0.17782312925170074,5,0.024489795918367308,-0.004761904761904745
RQ1_20260914T175757Z,shuffled,Q006,base,0.6176799140708915,0.5273720014321518,5,5,0.8043788041532401,0.7885964912280701,0,5,0.18669889008234863,5,,
RQ1_20260914T175757Z,shuffled,Q006,shifted,0.6109129967776584,0.5198532044396706,5,5,0.796860007160759,0.7810776942355889,0,5,0.18594701038310057,5,0.006766917293233088,0.007518796992481147
RQ1_20260914T175757Z,shuffled,Q007,base,0.6129251700680272,0.5197278911564626,5,5,0.777687074829932,0.7047619047619048,0,5,0.1647619047619049,5,,
RQ1_20260914T175757Z,shuffled,Q007,shifted,0.6319727891156462,0.5578231292517006,4,5,0.8174149659863946,0.7047619047619048,0,5,0.18544217687074838,4,-0.01904761904761909,-0.03972789115646258
RQ1_20260914T175757Z,shuffled,Q008,base,0.694718940207662,0.6797529538131043,3,5,0.7314536340852131,0.7022019334049409,0,5,0.03673469387755113,3,,
RQ1_20260914T175757Z,shuffled,Q008,shifted,0.7518617973505191,0.6797529538131043,3,5,0.8699570354457572,0.8382563551736484,0,5,0.11809523809523814,3,-0.05714285714285705,-0.13850340136054407
RQ1_20260914T175757Z,shuffled,Q009,base,0.7903401360544218,0.672108843537415,1,5,0.8208163265306123,0.7047619047619048,0,5,0.030476190476190546,1,,
RQ1_20260914T175757Z,shuffled,Q009,shifted,0.7631292517006802,0.6448979591836734,2,5,0.8175510204081633,0.7782312925170068,0,5,0.054421768707483054,2,0.027210884353741527,0.0032653061224490187
RQ1_20260914T175757Z,shuffled,Q010,base,0.7087576083064805,0.6622269960615826,3,5,0.752703186537773,0.7037235947010384,0,5,0.043945578231292526,3,,
RQ1_20260914T175757Z,shuffled,Q010,shifted,0.7012388113139993,0.6547081990691013,3,5,0.7941639813820265,0.7030075187969924,0,5,0.09292517006802714,3,0.007518796992481147,-0.04146079484425347
RQ1_20260914T175757Z,shuffled,Q011,base,0.7820408163265306,0.5714285714285714,1,5,0.8620408163265306,0.7047619047619048,0,5,0.08000000000000007,1,,
RQ1_20260914T175757Z,shuffled,Q011,shifted,0.7839455782312925,0.5428571428571428,2,5,0.9001360544217688,0.819047619047619,0,5,0.11619047619047629,2,-0.0019047619047619646,-0.03809523809523818
RQ1_20260914T175757Z,shuffled,Q012,base,0.7989115646258504,0.6952380952380953,1,5,0.8643537414965987,0.8176870748299321,0,5,0.06544217687074827,1,,
RQ1_20260914T175757Z,shuffled,Q012,shifted,0.7989115646258504,0.6952380952380953,1,5,0.83578231292517,0.8176870748299321,0,5,0.03687074829931958,1,0.0,0.028571428571428692
RQ1_20260914T175757Z,shuffled,Q013,base,0.6400644468313641,0.5333333333333333,5,5,0.781360544217687,0.7047619047619048,0,5,0.14129609738632287,5,,
RQ1_20260914T175757Z,shuffled,Q013,shifted,0.6041174364482635,0.4849982098102399,5,5,0.7757465091299679,0.7611886860007162,0,5,0.17162907268170435,5,0.03594701038310055,0.0056140350877190714
RQ1_20260914T175757Z,shuffled,Q014,base,0.7621697099892589,0.5532223415682063,1,5,0.8062835660580022,0.7940386680988185,0,5,0.044113856068743296,1,,
