experiment_id,bank_condition,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,baseline_retrieved_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,sacr_retrieved_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T175757Z,shuffled,Q014,base,0.7621697099892589,0.5532223415682063,1,5,0.8062835660580022,0.7940386680988185,0,5,0.044113856068743296,1,,
RQ1_20260914T175757Z,shuffled,Q014,shifted,0.7477479412817759,0.5042427497314715,1,5,0.8144468313641248,0.7736305048335125,0,5,0.06669889008234886,1,0.014421768707483018,-0.008163265306122547
RQ1_20260914T175757Z,shuffled,Q015,base,0.655030433225922,0.5219298245614035,4,5,0.8345900465449336,0.8095238095238095,0,5,0.1795596133190116,4,,
RQ1_20260914T175757Z,shuffled,Q015,shifted,0.6250984604368064,0.4811134980307913,4,5,0.7695560329394917,0.7414965986394558,0,5,0.14445757250268532,4,0.029931972789115635,0.06503401360544192
RQ1_20260914T175757Z,shuffled,Q016,base,0.6821768707482994,0.5360544217687074,3,5,0.8077551020408164,0.7074829931972789,0,5,0.125578231292517,3,,
RQ1_20260914T175757Z,shuffled,Q016,shifted,0.7032295023272468,0.5285356247762263,4,5,0.8516648764769066,0.7849982098102399,0,5,0.1484353741496598,4,-0.021052631578947434,-0.04390977443609023
RQ1_20260914T175757Z,shuffled,Q017,base,0.7310204081632654,0.6591836734693878,3,5,0.8093877551020409,0.7816326530612245,0,5,0.07836734693877545,3,,
RQ1_20260914T175757Z,shuffled,Q017,shifted,0.7046258503401361,0.625170068027211,3,5,0.8014965986394559,0.7775510204081633,0,5,0.09687074829931974,3,0.026394557823129272,0.00789115646258498
RQ1_20260914T175757Z,shuffled,Q018,base,0.7614965986394558,0.6598639455782314,1,5,0.8010884353741495,0.7047619047619048,0,5,0.039591836734693686,1,,
RQ1_20260914T175757Z,shuffled,Q018,shifted,0.7635517364840674,0.6458646616541354,2,5,0.8272252058718224,0.7941639813820265,0,5,0.06367346938775498,2,-0.002055137844611532,-0.026136770497672823
RQ1_20260914T175757Z,shuffled,Q019,base,0.7036734693877552,0.5551020408163266,1,5,0.7556462585034014,0.7074829931972789,0,5,0.05197278911564618,1,,
RQ1_20260914T175757Z,shuffled,Q019,shifted,0.7404081632653061,0.5346938775510204,2,5,0.8100680272108842,0.801360544217687,0,5,0.0696598639455781,2,-0.036734693877550906,-0.05442176870748283
RQ1_20260914T175757Z,shuffled,Q020,base,0.5570068027210884,0.5265306122448979,5,5,0.8078911564625851,0.7074829931972789,0,5,0.25088435374149676,5,,
RQ1_20260914T175757Z,shuffled,Q020,shifted,0.5599999999999999,0.5210884353741497,5,5,0.8112925170068028,0.8034013605442177,0,5,0.2512925170068029,5,-0.0029931972789115635,-0.003401360544217691
